Skill,Occurrences
Java,1109
Windows,1095
Python,973
Systemutveckling,860
SQL,853
Programmering,821
C#,756
Projektledning,574
JavaScript,530
Mjukvaruutveckling,490
C++,420
Windows Server,335
Android,299
Linux,291
C,247
CSS,246
Webbutveckling,244
Systemförvaltning,219
HTML,214
IOS,179
Jenkins,79
PHP,77
WordPress,51
Högskoleingenjörsexamen,50
SQL-Server,28
Systemtestning,18
Driftansvar,9
Elektronikkonstruktion,9
Erlang,8
MS Excel,3
MS Word,1
Java Enterprise Edition,1
Data- och nätverkslösningar,0
Försäljningsvana,0
Finansiella analyser,0
Visual Studio.NET,0
CNC-programmering,0
Kabelinstallationer,0
Java Standard Edition,0
Inbyggda system/Embedded system,0
Allmänkonstruktion-AutoCAD,0
IT-konsultuppdrag,0
Testautomatisering/Test automation,0
Arkitekt-Archicad,0
Customer Relationship Management/CRM,0
Grafiska gränssnitt/GUI,0
C++ Builder,0
